player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,effective_fg_percentage
LeBron James,SF/PF,LAL,MIA,35.3403,70.876,44.7301,23.5177,6.18333,8.03233,1.49667,6.53567,0.764667,1.034,2.99867,3.09733,11.2643,6.731,5.99033,1.96333,5.68767,4.16567,SF/PF,True,0.365333,0.0316667,,fd,10.9992,37.1,44.5,51.8,55.9,63.9,72.5,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,56.07767306514252
Kyle Lowry,PG,MIA,LAL,30.2852,61.098,23.4398,8.94233,4.61267,4.20567,0.964,3.24167,0.316667,1.02,2.588,1.47833,2.93067,1.311,4.525,1.60367,1.769,1.50933,PG,True,0.0223333,0.000666667,,fd,7.98087,17.7,22.8,28.7,31.8,37.505,43.702,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,49.84803511958013
Duncan Robinson,SG/SF,MIA,LAL,21.8719,43.609,15.5413,9.67367,1.51167,2.34567,0.561,1.78467,0.105,0.425667,1.977,0.806667,1.463,0.824333,6.538,2.42933,0.895667,0.737,SG/SF,False,0.000666667,0.0,,fd,6.90794,10.5,14.9,19.9,22.8,28.0,33.902,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,55.84711911011123
Anthony Davis,PF/C,LAL,MIA,36.3493,72.8963,51.1287,22.212,2.562,13.3987,2.53067,10.868,2.44567,1.27433,3.017,2.16467,14.0703,8.11633,1.10667,0.306667,6.388,5.05933,PF/C,True,0.824667,0.001,Q,fd,12.2038,42.375,50.8,59.2,64.0,72.0,80.402,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,56.50884530970279
Haywood Highsmith,SF,MIA,LAL,26.465,53.5243,17.4785,6.676,1.674,4.62433,1.09533,3.529,0.411,0.821667,2.29267,0.955667,3.163,1.578,2.929,0.920667,1.07667,0.758,SF,True,0.009,0.0,,fd,7.01492,12.6,16.9,21.8,24.715,29.6,36.1,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,48.571905778069606
Cam Reddish,SG/SF,LAL,MIA,21.8088,43.631,13.6634,7.088,1.07167,1.816,0.370333,1.44567,0.34,0.923,1.77133,1.00033,2.75367,1.46667,2.44267,0.92,1.68267,1.39467,SG/SF,False,0.0,0.0,,fd,6.35711,9.2,13.2,17.7,20.2,24.905,30.301,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,54.7822120954364
Jaime Jaquez,SF,MIA,LAL,19.0667,38.0327,14.4511,7.32767,0.990333,3.16467,0.737,2.42767,0.218333,0.713,1.623,0.953667,3.623,1.954,2.56333,0.797333,1.31267,1.02767,SF,False,0.00133333,0.0,,fd,6.62348,9.6,13.9,18.6,21.6,26.0,31.6,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,50.91871109365327
Taurean Prince,SF/PF,LAL,MIA,31.4844,62.955,18.3848,9.894,1.813,3.16833,0.606,2.56233,0.423,0.709,2.77167,1.42667,3.484,1.779,4.65767,1.59567,1.95033,1.549,SF/PF,True,0.00233333,0.0,,fd,7.2738,13.3,17.9,22.7,25.6,31.5,37.807,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,51.24876100357788
Bam Adebayo,C,MIA,LAL,34.6359,70.0917,40.1818,20.535,3.225,9.03467,2.05867,6.976,0.777333,1.34767,2.99467,2.40733,15.7837,7.78033,0.0176667,0.009,6.27133,4.94733,C,True,0.420333,0.00366667,,fd,10.3807,32.9,39.75,46.9,51.3,58.3,65.901,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,49.32377146845153
Austin Reaves,SF/SG,LAL,MIA,33.9003,67.8093,23.856,12.3013,4.48633,3.09433,0.581333,2.513,0.228333,0.727667,2.78133,1.756,4.606,2.607,3.97233,1.39233,3.393,2.91033,SF/SG,True,0.017,0.0,,fd,8.09626,18.0,23.4,29.1,32.2,38.0,45.401,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,54.73670283143689
Thomas Bryant,C,MIA,LAL,16.0486,32.193,13.8721,6.519,0.484,4.28733,0.972333,3.315,0.366333,0.309,1.362,0.543667,3.87633,2.20867,0.931,0.287667,1.64033,1.23867,C,False,0.0126667,0.0,,fd,6.59761,9.075,13.2,18.0,20.6,25.4,31.702,1699315613000,20231106,841d9a81-bfa1-441c-9a0b-acea3c640621,09d6c518-c5f0-4693-952a-3289b3efcae9,54.919685147472705
