player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,matchup,effective_fg_percentage
Day'Ron Sharpe,C,BKN,PHI,1.17215,2.77067,4.28397,3.01033,0.107,0.790667,0.128333,0.662333,0.0803333,0.0933333,0.130667,0.356667,1.26767,1.03033,0.252333,0.103333,0.906667,0.639667,C,False,0.0,0.0,,fd,4.83034,0.0,3.0,6.4,8.9,13.2,21.604,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,BKN vs PHI,77.98205003542755
Dorian Finney-Smith,SF/PF,BKN,PHI,28.9697,58.1503,23.0376,9.49667,2.10233,6.329,1.455,4.874,0.618667,0.644333,2.364,0.996333,2.75833,1.22233,5.94667,2.006,1.411,1.034,SF/PF,False,0.078,0.00166667,,fd,8.41081,17.2,22.5,28.2,31.4,37.505,46.601,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,BKN vs PHI,48.60804135554279
Nicolas Batum,SF/PF,PHI,BKN,45.0969,89.5133,23.6306,6.50533,2.38533,6.593,1.38267,5.21033,0.802667,1.29067,3.736,0.644333,1.37833,0.656667,4.41067,1.56167,0.685667,0.507,SF/PF,False,0.0446667,0.0,,fd,9.02069,17.175,22.8,29.1,32.715,39.5,48.701,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,PHI vs BKN,51.8081188460874
Cameron Johnson,SF/PF,BKN,PHI,46.4652,93.1753,33.7627,18.7003,2.45567,6.496,1.457,5.039,0.412333,1.212,3.70533,1.28933,6.442,3.28267,9.63733,2.986,3.811,3.177,SF/PF,False,0.151,0.00133333,,fd,10.118,26.8,33.2,39.925,44.1,50.805,60.7,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,BKN vs PHI,48.271103335773326
Danuel House,SF,PHI,BKN,3.36164,7.179,9.20013,5.341,0.582667,1.794,0.340667,1.45333,0.172333,0.277667,0.371667,0.517667,1.355,1.01667,1.797,0.825333,1.06767,0.831667,SF,False,0.008,0.0,,fd,9.47956,2.0,6.2,13.6,19.1,28.6,38.704,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,PHI vs BKN,71.53139276649746
Dennis Smith,PG,BKN,PHI,18.9822,37.8663,20.6097,7.87633,4.11467,3.20367,0.693333,2.51033,0.319333,0.954333,1.49333,1.104,5.83267,2.47267,1.95233,0.526,1.84267,1.353,PG,False,0.009,0.000666667,Q,fd,6.88283,15.7,20.2,24.9,27.5,32.8,38.502,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,BKN vs PHI,41.89685292228644
Tobias Harris,PF/SF,PHI,BKN,46.1002,91.8753,39.8416,19.2833,3.29467,9.918,2.004,7.914,0.571333,1.047,3.90567,1.14033,10.8803,5.794,4.67533,1.70867,2.983,2.56933,PF/SF,False,0.476,0.00133333,,fd,10.9361,32.5,39.9,47.0,51.0,58.1,66.504,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,PHI vs BKN,53.7233464668419
Robert Covington,PF/SF,PHI,BKN,3.66268,7.806,10.4592,5.19967,0.809,2.31833,0.456667,1.86167,0.212667,0.349333,0.390333,0.422,1.15167,0.798667,1.952,0.988,0.797667,0.638333,PF/SF,False,0.0163333,0.0,,fd,10.203,3.0,7.4,15.1,21.0,30.8,44.0,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,PHI vs BKN,73.48290894328328
Jaden Springer,PG,PHI,BKN,3.64162,7.796,10.5709,6.164,0.632,2.063,0.378667,1.68433,0.224667,0.33,0.374667,0.680667,2.753,2.00833,1.161,0.420667,1.171,0.885333,PG,False,0.0146667,0.000333333,,fd,10.8724,2.4,7.0,15.6,21.8,32.805,46.402,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,PHI vs BKN,67.43307358201328
Spencer Dinwiddie,SG/PG,BKN,PHI,23.5493,47.6463,35.6592,18.451,6.47767,5.09533,1.13333,3.962,0.297333,0.730333,1.91467,1.70567,7.107,2.79533,6.43933,2.93567,5.21867,4.05333,SG/PG,False,0.190667,0.014,,fd,11.6336,27.6,34.0,42.5,47.8,58.1,67.1,1700389885000,20231119,bf6c548c-bf65-4136-b7ea-0bada24b1865,f0eca188-f722-4214-b658-22630aa2dae3,BKN vs PHI,53.142327109999535
