player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,sports_book,bet_type,over/under,odds,stat_threshold,us_odds,edge,away_score,away_team,away_wins,home_score,home_team,home_wins,start_time_js,start_time_et,start_time_readable,matchup
Jalen Williams,SF/SG,OKC,SA,33.1623,69.1917,36.1075,19.6777,3.802,4.56567,0.914333,3.65133,0.603,1.718,2.65067,1.715,10.8807,6.54,3.02833,1.22533,3.58,2.92167,SF/SG,False,0.0273333,0.000666667,,fd,9.20456,29.8,35.7,42.2,45.6,51.4,59.302,1706117243000,20240124,6bac2bde-6bd0-44e8-8eff-23dafe50ff1b,f8c06974-8f59-4d78-a649-33c470743f3f,draftkings,player_points_alternate,Over,1.34,14.5,-294,5.1777000000000015,124.867,OKC,0.709,117.1557,SAS,0.291,2024-01-25 02:30:00+00:00,2024-01-24 21:30:00-05:00,2024-01-24 09:30 PM ET,OKC vs SA
Luka Doncic,PG,DAL,PHO,36.9719,74.8717,59.0463,33.8277,8.12867,8.74133,2.11967,6.62167,0.485667,1.50067,3.06267,3.423,14.6003,8.14833,9.23433,3.342,9.99867,7.505,PG,False,0.561333,0.131,Q,fd,11.6471,51.6,59.0,66.8,71.0,78.3,86.601,1706117299000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,461082f0-9dc8-4cfa-9210-4bc42b7cc12f,draftkings,player_points_alternate,Over,1.34,29.5,-294,4.3277,121.304,PHX,0.574,118.6987,DAL,0.426,2024-01-25 01:30:00+00:00,2024-01-24 20:30:00-05:00,2024-01-24 08:30 PM ET,DAL vs PHO
Jarrett Allen,C/PF,CLE,MIL,33.6669,67.3607,39.4611,15.6263,3.13133,11.799,3.01733,8.78167,1.23733,0.829667,2.84833,1.222,10.4437,6.57567,0.0313333,0.015,3.303,2.43,C/PF,False,0.653333,0.000666667,,fd,9.17346,33.1,39.3,45.5,48.9,55.205,61.301,1706132270000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,22031b0c-de4a-4cb3-854e-2b458744b8e3,draftkings,player_points_alternate,Over,1.36,11.5,-277,4.1263000000000005,115.1157,CLE,0.3373,121.4893,MIL,0.6627,2024-01-25 01:00:00+00:00,2024-01-24 20:00:00-05:00,2024-01-24 08:00 PM ET,CLE vs MIL
Jimmy Butler,SF/PF,MIA,MEM,33.4557,64.5053,35.975,18.603,4.51267,5.01167,0.939,4.07267,0.557,1.446,2.53,1.42,9.65867,5.71567,1.38733,0.612,6.186,5.33567,SF/PF,False,0.043,0.000333333,,fd,8.82806,29.975,35.9,41.6,45.0,51.3,57.4,1706140008000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,2f9f5bb2-dcd7-4d24-a962-1481cb11ba82,draftkings,player_points_alternate,Over,1.38,14.5,-263,4.1030000000000015,102.2617,MEM,0.2383,112.7167,MIA,0.7617,2024-01-25 00:30:00+00:00,2024-01-24 19:30:00-05:00,2024-01-24 07:30 PM ET,MIA vs MEM
Alperen Sengun,C,HOU,POR,34.5506,66.2843,46.3266,23.484,4.699,9.65067,2.01133,7.63933,0.789333,1.46667,2.687,2.55467,14.067,9.018,1.38767,0.5,5.53867,3.948,C,False,0.502333,0.00933333,,fd,9.88252,39.475,46.1,52.9,56.5,63.4,70.8,1706140006000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,7ea011bc-f2a4-4c33-9914-5657e54b067e,draftkings,player_points_alternate,Over,1.38,19.5,-263,3.9840000000000018,104.782,POR,0.2483,114.4657,HOU,0.7517,2024-01-25 01:00:00+00:00,2024-01-24 20:00:00-05:00,2024-01-24 08:00 PM ET,HOU vs POR
Giannis Antetokounmpo,PF,MIL,CLE,36.3299,73.172,59.6631,33.4553,6.00267,11.9157,2.06233,9.85333,0.796667,1.27567,2.66267,3.312,18.5423,12.0,1.68167,0.587333,12.081,7.69333,PF,False,0.778,0.062,P,fd,11.1524,51.975,59.5,67.0,71.015,78.3,86.201,1706132270000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,22031b0c-de4a-4cb3-854e-2b458744b8e3,draftkings,player_points_alternate,Over,1.51,29.5,-196,3.955300000000001,115.1157,CLE,0.3373,121.4893,MIL,0.6627,2024-01-25 01:00:00+00:00,2024-01-24 20:00:00-05:00,2024-01-24 08:00 PM ET,MIL vs CLE
Kyle Kuzma,SF/PF,WAS,MIN,30.958,63.0403,35.1917,20.3877,3.73633,6.48267,1.728,4.75467,0.589667,0.742667,2.53033,2.57667,12.58,6.022,5.41333,1.69267,4.33633,3.26567,SF/PF,True,0.114667,0.000666667,,fd,9.05335,28.9,34.8,41.2,44.8,50.505,57.201,1706140016000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,d40a3d2f-6427-4f01-8206-f647c9ac94d9,draftkings,player_points_alternate,Over,1.47,16.5,-212,3.887699999999999,119.6973,MIN,0.7637,109.4043,WAS,0.2363,2024-01-25 00:00:00+00:00,2024-01-24 19:00:00-05:00,2024-01-24 07:00 PM ET,WAS vs MIN
Eric Gordon,SG/SF,PHO,DAL,25.673,51.5763,17.4409,10.2957,1.70033,2.11367,0.427667,1.686,0.330667,0.677667,2.318,0.966667,2.83467,1.601,4.82967,1.957,1.53333,1.22267,SG/SF,False,0.000333333,0.0,Q,fd,6.62585,12.7,17.1,21.7,24.2,29.005,34.802,1706117299000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,461082f0-9dc8-4cfa-9210-4bc42b7cc12f,draftkings,player_points_alternate,Over,1.4,6.5,-250,3.7957,121.304,PHX,0.574,118.6987,DAL,0.426,2024-01-25 01:30:00+00:00,2024-01-24 20:30:00-05:00,2024-01-24 08:30 PM ET,PHO vs DAL
Rudy Gobert,C,MIN,WAS,33.0288,66.7977,40.2747,15.2923,1.822,12.9333,2.17833,10.755,1.98833,0.724333,2.53667,1.40867,8.66067,6.11167,0.0236667,0.0106667,4.90333,3.037,C,True,0.725333,0.0,,fd,9.30846,33.8,39.6,46.4,50.1,56.2,63.405,1706140016000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,d40a3d2f-6427-4f01-8206-f647c9ac94d9,draftkings,player_points_alternate,Over,1.36,11.5,-277,3.792299999999999,119.6973,MIN,0.7637,109.4043,WAS,0.2363,2024-01-25 00:00:00+00:00,2024-01-24 19:00:00-05:00,2024-01-24 07:00 PM ET,MIN vs WAS
Stephen Curry,PG,GS,ATL,33.4949,67.4973,43.5739,26.8167,6.9,4.25133,0.941667,3.30967,0.566667,0.783,2.57533,2.74333,8.094,4.823,11.0723,4.51467,3.952,3.62667,PG,False,0.157333,0.00266667,,fd,9.816,36.8,43.5,49.925,53.6,60.305,68.101,1706117301000,20240124,6bac2bde-6bd0-44e8-8eff-23dafe50ff1b,586eb076-425d-47b7-ad94-4b66d475d4e5,draftkings,player_points_alternate,Under,1.59,30.5,-169,3.683299999999999,114.5237,ATL,0.338,120.751,GSW,0.662,2024-01-25 03:00:00+00:00,2024-01-24 22:00:00-05:00,2024-01-24 10:00 PM ET,GS vs ATL
Luka Doncic,PG,DAL,PHO,36.9719,74.8717,59.0463,33.8277,8.12867,8.74133,2.11967,6.62167,0.485667,1.50067,3.06267,3.423,14.6003,8.14833,9.23433,3.342,9.99867,7.505,PG,False,0.561333,0.131,Q,fd,11.6471,51.6,59.0,66.8,71.0,78.3,86.601,1706117299000,20240124,af7fde6f-e4c8-42a8-acf3-96efe557b3c6,461082f0-9dc8-4cfa-9210-4bc42b7cc12f,draftkings,player_points_alternate,Under,1.62,37.5,-161,3.6723,121.304,PHX,0.574,118.6987,DAL,0.426,2024-01-25 01:30:00+00:00,2024-01-24 20:30:00-05:00,2024-01-24 08:30 PM ET,DAL vs PHO
