player_names,bet_type,over/under,stat_threshold,odds,us_odds,implied_probability,sportsbook_prob,edge,ev,composite_z_score
Jalen Williams,player_points_alternate,Over,14.5,1.34,-294,0.7131172931465205,0.7461928934010152,-0.03307560025449474,-0.04432580442269027,1.243816741694077
Luka Doncic,player_points_alternate,Over,29.5,1.34,-294,0.6448930716837102,0.7461928934010152,-0.101299821717305,-0.13575554338985774,0.07555405361153948
Jarrett Allen,player_points_alternate,Over,11.5,1.36,-277,0.673575724724328,0.7347480106100795,-0.06117228588575152,-0.08325614360623945,0.6820048838432111
Jimmy Butler,player_points_alternate,Over,14.5,1.38,-263,0.6789512055124767,0.7245179063360881,-0.04556670082361147,-0.06289244258163873,0.8793641283246997
Alperen Sengun,player_points_alternate,Over,19.5,1.38,-263,0.6565759263619514,0.7245179063360881,-0.06794197997413676,-0.09377543243578579,0.49279324986422607
Giannis Antetokounmpo,player_points_alternate,Over,29.5,1.51,-196,0.638577497551714,0.6621621621621622,-0.02358466461044817,-0.03561765675863604,0.8343604739607308
Kyle Kuzma,player_points_alternate,Over,16.5,1.47,-212,0.6661916188665529,0.6794871794871795,-0.013295560620626645,-0.019567051479412845,1.1339465569884275
Eric Gordon,player_points_alternate,Over,6.5,1.4,-250,0.7166310505873312,0.7142857142857143,0.0023453363016169293,0.0032834708222636566,1.6395161247197716
Rudy Gobert,player_points_alternate,Over,11.5,1.36,-277,0.6581442038160937,0.7347480106100795,-0.07660380679398582,-0.10425861069073161,0.41652961584906006
Stephen Curry,player_points_alternate,Under,30.5,1.59,-169,0.6462568927051628,0.6282527881040892,0.0180041046010736,0.028657420933069777,1.3544327174766924
Luka Doncic,player_points_alternate,Under,37.5,1.62,-161,0.6237320592200932,0.6168582375478927,0.00687382167220052,0.011143276126983459,1.0784489498368581
Anthony Edwards,player_points_alternate,Over,24.5,1.41,-243,0.6375799228021253,0.7084548104956269,-0.07087488769350159,-0.10004150814350227,0.32725249958787644
Xavier Tillman,player_points_alternate,Under,13.5,1.43,-232,0.6730464885580882,0.6987951807228916,-0.025748692164803355,-0.03684726637377039,1.0463587377801764
LaMelo Ball,player_points_alternate,Over,24.5,1.38,-263,0.6241930848356768,0.7245179063360881,-0.10032482150041133,-0.13847114146254497,-0.06667523370838598
Kyrie Irving,player_points_alternate,Over,23.5,1.57,-175,0.6290693120016323,0.6363636363636364,-0.0072943243620040565,-0.011462509711720692,0.9512618385321389
Brandon Miller,player_points_alternate,Over,14.5,1.4,-250,0.6581695510691123,0.7142857142857143,-0.056116163216601955,-0.07856262850324275,0.6250885142501504
Victor Wembanyama,player_points_alternate,Over,19.5,1.39,-256,0.6222139289045276,0.7191011235955056,-0.09688719469097795,-0.13473375511714125,-0.04700938623174141
Andrew Wiggins,player_points_alternate,Over,10.5,1.43,-232,0.6742659170708931,0.6987951807228916,-0.02452926365199848,-0.03510222212268754,1.0676625951860574
Anfernee Simons,player_points_alternate,Over,17.5,1.61,-163,0.6461487194778448,0.6197718631178707,0.02637685635997411,0.042558976826215844,1.4518413549612603
