sports_book,bet_type,over/under,player_names,odds,stat_threshold,us_odds
draftkings,player_assists,Over,Bojan Bogdanovic,2.2,2.5,120
draftkings,player_assists,Under,Bojan Bogdanovic,1.67,2.5,-149
draftkings,player_assists,Over,Brandon Miller,2.2,2.5,120
draftkings,player_assists,Under,Brandon Miller,1.67,2.5,-149
draftkings,player_assists,Over,Cody Martin,1.8,2.5,-125
draftkings,player_assists,Under,Cody Martin,1.95,2.5,-105
draftkings,player_assists,Over,Jaden Ivey,1.87,5.5,-114
draftkings,player_assists,Under,Jaden Ivey,1.87,5.5,-114
draftkings,player_assists,Over,Killian Hayes,2.05,5.5,104
draftkings,player_assists,Under,Killian Hayes,1.74,5.5,-135
draftkings,player_assists,Over,LaMelo Ball,1.8,8.5,-125
draftkings,player_assists,Under,LaMelo Ball,1.95,8.5,-105
draftkings,player_assists,Over,Miles Bridges,2.05,3.5,104
draftkings,player_assists,Under,Miles Bridges,1.74,3.5,-135
draftkings,player_assists_alternate,Over,Bojan Bogdanovic,1.39,1.5,-256
draftkings,player_assists_alternate,Under,Bojan Bogdanovic,2.8,1.5,179
draftkings,player_assists_alternate,Over,Bojan Bogdanovic,3.85,3.5,285
draftkings,player_assists_alternate,Under,Bojan Bogdanovic,1.24,3.5,-416
draftkings,player_assists_alternate,Over,Brandon Miller,1.42,1.5,-238
draftkings,player_assists_alternate,Under,Brandon Miller,2.7,1.5,170
draftkings,player_assists_alternate,Over,Brandon Miller,4.0,3.5,300
draftkings,player_assists_alternate,Under,Brandon Miller,1.22,3.5,-454
draftkings,player_assists_alternate,Over,Cody Martin,1.26,1.5,-384
draftkings,player_assists_alternate,Under,Cody Martin,3.65,1.5,265
draftkings,player_assists_alternate,Over,Cody Martin,2.85,3.5,185
draftkings,player_assists_alternate,Under,Cody Martin,1.38,3.5,-263
draftkings,player_assists_alternate,Over,Cody Martin,10.5,5.5,950
draftkings,player_assists_alternate,Under,Cody Martin,1.06,5.5,-1666
draftkings,player_assists_alternate,Over,Jaden Ivey,1.17,3.5,-588
draftkings,player_assists_alternate,Under,Jaden Ivey,4.8,3.5,380
draftkings,player_assists_alternate,Over,Jaden Ivey,2.4,6.5,140
draftkings,player_assists_alternate,Under,Jaden Ivey,1.51,6.5,-196
draftkings,player_assists_alternate,Over,Killian Hayes,1.24,3.5,-416
draftkings,player_assists_alternate,Under,Killian Hayes,3.8,3.5,280
draftkings,player_assists_alternate,Over,Killian Hayes,2.9,6.5,190
draftkings,player_assists_alternate,Under,Killian Hayes,1.36,6.5,-277
draftkings,player_assists_alternate,Over,LaMelo Ball,1.25,6.5,-400
draftkings,player_assists_alternate,Under,LaMelo Ball,3.75,6.5,275
draftkings,player_assists_alternate,Over,LaMelo Ball,2.8,10.5,179
draftkings,player_assists_alternate,Under,LaMelo Ball,1.39,10.5,-256
draftkings,player_assists_alternate,Over,Miles Bridges,1.12,1.5,-833
draftkings,player_assists_alternate,Under,Miles Bridges,6.0,1.5,500
draftkings,player_assists_alternate,Over,Miles Bridges,1.38,2.5,-263
draftkings,player_assists_alternate,Under,Miles Bridges,2.85,2.5,185
draftkings,player_assists_alternate,Over,Miles Bridges,5.0,5.5,400
draftkings,player_assists_alternate,Under,Miles Bridges,1.17,5.5,-588
draftkings,player_assists_alternate,Over,Bojan Bogdanovic,8.0,4.5,700
draftkings,player_assists_alternate,Over,Brandon Miller,8.0,4.5,700
draftkings,player_assists_alternate,Over,Cody Martin,5.25,4.5,425
draftkings,player_assists_alternate,Over,Jaden Ivey,1.37,4.5,-270
draftkings,player_assists_alternate,Over,Jaden Ivey,3.35,7.5,235
draftkings,player_assists_alternate,Over,Jaden Ivey,8.5,9.5,750
draftkings,player_assists_alternate,Over,Killian Hayes,1.51,4.5,-196
draftkings,player_assists_alternate,Over,Killian Hayes,4.5,7.5,350
draftkings,player_assists_alternate,Over,Killian Hayes,14.0,9.5,1300
draftkings,player_assists_alternate,Over,LaMelo Ball,1.06,4.5,-1666
draftkings,player_assists_alternate,Over,LaMelo Ball,1.43,7.5,-232
draftkings,player_assists_alternate,Over,LaMelo Ball,2.15,9.5,114
draftkings,player_assists_alternate,Over,LaMelo Ball,3.85,11.5,285
draftkings,player_assists_alternate,Over,Miles Bridges,2.95,4.5,195
draftkings,player_blocks,Over,Alec Burks,4.25,0.5,325
draftkings,player_blocks,Under,Alec Burks,1.21,0.5,-476
draftkings,player_blocks,Over,Ausar Thompson,2.05,0.5,104
draftkings,player_blocks,Under,Ausar Thompson,1.74,0.5,-135
draftkings,player_blocks,Over,Bojan Bogdanovic,4.7,0.5,370
draftkings,player_blocks,Under,Bojan Bogdanovic,1.18,0.5,-555
draftkings,player_blocks,Over,Brandon Miller,2.6,0.5,160
draftkings,player_blocks,Under,Brandon Miller,1.48,0.5,-208
draftkings,player_blocks,Over,Cody Martin,1.77,0.5,-129
draftkings,player_blocks,Under,Cody Martin,2.0,0.5,100
draftkings,player_blocks,Over,Isaiah Stewart,1.42,0.5,-238
draftkings,player_blocks,Under,Isaiah Stewart,2.8,0.5,179
