sports_book,bet_type,over/under,player_names,odds,stat_threshold
fanduel,player_assists,Over,Cam Johnson,2.26,2.5
fanduel,player_assists,Under,Cam Johnson,1.62,2.5
fanduel,player_assists,Over,De'Anthony Melton,1.98,3.5
fanduel,player_assists,Under,De'Anthony Melton,1.8,3.5
fanduel,player_assists,Over,Joel Embiid,1.78,4.5
fanduel,player_assists,Under,Joel Embiid,2.0,4.5
fanduel,player_assists,Over,Spencer Dinwiddie,2.02,7.5
fanduel,player_assists,Under,Spencer Dinwiddie,1.77,7.5
fanduel,player_assists,Over,Mikal Bridges,1.65,3.5
fanduel,player_assists,Under,Mikal Bridges,2.2,3.5
fanduel,player_assists,Over,Tyrese Maxey,2.08,6.5
fanduel,player_assists,Under,Tyrese Maxey,1.72,6.5
fanduel,player_points,Over,Tobias Harris,1.87,17.5
fanduel,player_points,Under,Tobias Harris,1.88,17.5
fanduel,player_points,Over,Cam Johnson,2.0,17.5
fanduel,player_points,Under,Cam Johnson,1.78,17.5
fanduel,player_points,Over,Joel Embiid,1.94,31.5
fanduel,player_points,Under,Joel Embiid,1.83,31.5
fanduel,player_points,Over,Dorian Finney Smith,1.9,8.5
fanduel,player_points,Under,Dorian Finney Smith,1.87,8.5
fanduel,player_points,Over,De'Anthony Melton,1.94,11.5
fanduel,player_points,Under,De'Anthony Melton,1.83,11.5
fanduel,player_points,Over,Mikal Bridges,1.93,23.5
fanduel,player_points,Under,Mikal Bridges,1.85,23.5
fanduel,player_points,Over,Spencer Dinwiddie,2.0,14.5
fanduel,player_points,Under,Spencer Dinwiddie,1.78,14.5
fanduel,player_points,Over,Nic Claxton,1.98,10.5
fanduel,player_points,Under,Nic Claxton,1.8,10.5
fanduel,player_points,Over,Tyrese Maxey,1.96,25.5
fanduel,player_points,Under,Tyrese Maxey,1.82,25.5
fanduel,player_points_assists,Over,Tyrese Maxey,1.87,31.5
fanduel,player_points_assists,Under,Tyrese Maxey,1.9,31.5
fanduel,player_points_assists,Over,Cam Johnson,1.9,19.5
fanduel,player_points_assists,Under,Cam Johnson,1.87,19.5
fanduel,player_points_assists,Over,Mikal Bridges,1.9,27.5
fanduel,player_points_assists,Under,Mikal Bridges,1.87,27.5
fanduel,player_points_assists,Over,Spencer Dinwiddie,1.88,21.5
fanduel,player_points_assists,Under,Spencer Dinwiddie,1.88,21.5
fanduel,player_points_assists,Over,Joel Embiid,1.96,36.5
fanduel,player_points_assists,Under,Joel Embiid,1.82,36.5
fanduel,player_points_assists,Over,De'Anthony Melton,1.78,14.5
fanduel,player_points_assists,Under,De'Anthony Melton,2.0,14.5
fanduel,player_points_rebounds,Over,De'Anthony Melton,1.88,15.5
fanduel,player_points_rebounds,Under,De'Anthony Melton,1.88,15.5
fanduel,player_points_rebounds,Over,Tyrese Maxey,1.83,29.5
fanduel,player_points_rebounds,Under,Tyrese Maxey,1.94,29.5
fanduel,player_points_rebounds,Over,Cam Johnson,1.94,22.5
fanduel,player_points_rebounds,Under,Cam Johnson,1.83,22.5
fanduel,player_points_rebounds,Over,Spencer Dinwiddie,1.85,17.5
fanduel,player_points_rebounds,Under,Spencer Dinwiddie,1.93,17.5
fanduel,player_points_rebounds,Over,Tobias Harris,1.88,24.5
