player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,matchup
Miles McBride,PG,NY,HOU,13.0555,25.4517,11.7502,6.13533,1.47367,0.947,0.231333,0.715667,0.221667,0.707333,1.053,0.519,1.997,1.03867,2.80367,1.08067,1.08367,0.816,PG,False,0.0,0.0,,fd,5.70162,7.7,11.2,15.225,17.7,21.9,26.601,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,NY vs HOU
Jock Landale,C,HOU,NY,6.04624,11.8517,5.58703,2.29133,0.454333,1.641,0.418333,1.22267,0.190667,0.107,0.537333,0.248,1.31667,0.772667,0.404,0.123667,0.488667,0.375,C,False,0.0,0.0,,fd,3.69552,2.7,5.2,7.7,9.4,12.4,16.6,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
Fred VanVleet,PG,HOU,NY,38.988,75.4003,34.6257,14.8247,8.11067,3.26033,0.792333,2.468,0.734,0.979333,3.15867,1.41733,5.41433,2.44567,7.20267,2.581,2.48867,2.19033,PG,False,0.234667,0.000666667,,fd,8.90913,28.5,34.3,40.325,43.9,49.9,56.0,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
Quentin Grimes,SG/SF,NY,HOU,17.6333,34.4913,13.617,7.69633,1.469,1.53933,0.389333,1.15,0.152,0.655,1.39167,0.551,1.47967,0.835,4.538,1.69967,1.18933,0.927333,SG/SF,False,0.0,0.0,,fd,6.0266,9.2,13.2,17.4,20.0,24.4,29.6,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,NY vs HOU
Precious Achiuwa,PF/C,NY,HOU,10.8693,21.2043,10.696,3.54967,0.894,3.37,0.856333,2.51367,0.313667,0.407667,0.866,0.402667,2.065,1.145,0.716333,0.234667,0.837,0.555667,PF/C,False,0.000666667,0.0,,fd,5.06387,7.1,10.2,13.6,15.9,19.905,24.204,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,NY vs HOU
Amen Thompson,PG/SG,HOU,NY,17.8365,34.9407,16.1763,5.95067,2.206,3.60467,0.866,2.73867,0.216,0.953,1.516,0.916,3.27633,1.714,1.41067,0.441,1.629,1.19967,PG/SG,False,0.001,0.0,,fd,6.14783,11.7,15.75,20.2,22.7,26.705,32.201,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
Jae'Sean Tate,SF/PF,HOU,NY,11.1681,21.8007,8.4869,3.184,0.979,2.147,0.508,1.639,0.116,0.441,0.954667,0.413,1.64933,0.936,0.815333,0.273667,0.672,0.491,SF/PF,False,0.0,0.0,,fd,4.60472,5.2,8.0,11.4,13.2,16.605,21.3,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
Jabari Smith,PF,HOU,NY,33.1593,64.1397,27.9472,12.4143,1.36867,8.58433,2.071,6.51333,0.722667,0.702667,2.704,1.09733,6.00067,3.161,3.931,1.351,2.48933,2.03933,PF,False,0.253,0.0,,fd,7.94278,22.3,27.8,33.2,36.315,41.5,46.703,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
Isaiah Hartenstein,PF/C,NY,HOU,35.7333,69.768,35.4474,8.54767,2.49133,11.3853,2.752,8.63333,1.83867,1.753,2.83133,1.27467,5.29,3.09567,0.629667,0.219333,2.45967,1.69833,PF/C,False,0.275667,0.0,,fd,8.92287,29.3,34.9,41.3,44.8,50.8,57.401,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,NY vs HOU
Jalen Brunson,PG,NY,HOU,34.8837,67.7957,42.8193,27.714,6.138,3.68167,0.885333,2.79633,0.382667,0.815333,2.672,2.11367,13.5417,6.99233,7.07433,2.81233,6.325,5.29233,PG,False,0.0973333,0.000666667,Q,fd,9.68122,36.0,42.45,49.1,52.7,59.205,66.802,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,NY vs HOU
Jalen Green,SG/PG,HOU,NY,30.2805,58.181,28.1488,17.534,2.63167,4.32633,1.09567,3.23067,0.374,0.701333,2.405,1.75033,7.90833,3.829,6.28133,2.18167,4.208,3.331,SG/PG,False,0.0106667,0.0,,fd,8.24284,22.3,27.8,33.5,36.6,42.0,49.603,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
Jeff Green,SF,HOU,NY,13.3252,25.9813,9.30543,4.78267,0.786333,1.85133,0.461,1.39033,0.371667,0.143667,1.122,0.424333,2.189,1.33067,1.037,0.341,1.367,1.09833,SF,False,0.0,0.0,,fd,4.81093,5.7,8.8,12.2,14.4,18.1,22.401,1705486084000,20240117,0b598f24-b9c4-428b-84c1-e839ef6db536,04869ead-d327-4d73-9e11-cccaaa79e6bf,HOU vs NY
