sports_book,bet_type,over/under,player_names,odds,stat_threshold
fanduel,player_assists,Over,Jalen Brunson,1.87,5.5
fanduel,player_assists,Under,Jalen Brunson,1.9,5.5
fanduel,player_assists,Over,Julius Randle,1.7,4.5
fanduel,player_assists,Under,Julius Randle,2.12,4.5
fanduel,player_assists,Over,Tyus Jones,1.67,4.5
fanduel,player_assists,Under,Tyus Jones,2.18,4.5
fanduel,player_assists,Over,Jordan Poole,2.18,4.5
fanduel,player_assists,Under,Jordan Poole,1.67,4.5
fanduel,player_assists,Over,Deni Avdija,1.68,3.5
fanduel,player_assists,Under,Deni Avdija,2.14,3.5
fanduel,player_assists,Over,Kyle Kuzma,1.56,2.5
fanduel,player_assists,Under,Kyle Kuzma,2.4,2.5
fanduel,player_points,Over,Mitchell Robinson,1.77,7.5
fanduel,player_points,Under,Mitchell Robinson,2.02,7.5
fanduel,player_points,Over,Deni Avdija,2.02,11.5
fanduel,player_points,Under,Deni Avdija,1.77,11.5
fanduel,player_points,Over,Kyle Kuzma,1.9,21.5
fanduel,player_points,Under,Kyle Kuzma,1.87,21.5
fanduel,player_points,Over,Jordan Poole,1.94,16.5
fanduel,player_points,Under,Jordan Poole,1.83,16.5
fanduel,player_points,Over,Tyus Jones,1.94,9.5
fanduel,player_points,Under,Tyus Jones,1.83,9.5
fanduel,player_points,Over,Daniel Gafford,1.96,8.5
fanduel,player_points,Under,Daniel Gafford,1.82,8.5
fanduel,player_points,Over,Julius Randle,1.94,23.5
fanduel,player_points,Under,Julius Randle,1.83,23.5
fanduel,player_points,Over,Jalen Brunson,1.94,25.5
fanduel,player_points,Under,Jalen Brunson,1.83,25.5
fanduel,player_points_assists,Over,Jalen Brunson,1.82,30.5
fanduel,player_points_assists,Under,Jalen Brunson,1.96,30.5
fanduel,player_points_assists,Over,Deni Avdija,2.02,15.5
fanduel,player_points_assists,Under,Deni Avdija,1.77,15.5
fanduel,player_points_assists,Over,Kyle Kuzma,1.87,24.5
fanduel,player_points_assists,Under,Kyle Kuzma,1.9,24.5
fanduel,player_points_assists,Over,Julius Randle,1.93,28.5
fanduel,player_points_assists,Under,Julius Randle,1.83,28.5
fanduel,player_points_assists,Over,Tyus Jones,1.88,14.5
fanduel,player_points_assists,Under,Tyus Jones,1.88,14.5
fanduel,player_points_assists,Over,Jordan Poole,1.85,20.5
fanduel,player_points_assists,Under,Jordan Poole,1.93,20.5
fanduel,player_points_rebounds,Over,Julius Randle,1.88,33.5
fanduel,player_points_rebounds,Under,Julius Randle,1.88,33.5
fanduel,player_points_rebounds,Over,Mitchell Robinson,1.93,19.5
fanduel,player_points_rebounds,Under,Mitchell Robinson,1.85,19.5
fanduel,player_points_rebounds,Over,Tyus Jones,2.02,12.5
fanduel,player_points_rebounds,Under,Tyus Jones,1.77,12.5
fanduel,player_points_rebounds,Over,Jordan Poole,1.8,18.5
fanduel,player_points_rebounds,Under,Jordan Poole,1.98,18.5
fanduel,player_points_rebounds,Over,Deni Avdija,1.85,17.5
fanduel,player_points_rebounds,Under,Deni Avdija,1.93,17.5
fanduel,player_points_rebounds,Over,Jalen Brunson,1.82,28.5
fanduel,player_points_rebounds,Under,Jalen Brunson,1.96,28.5
fanduel,player_points_rebounds,Over,Kyle Kuzma,1.83,27.5
fanduel,player_points_rebounds,Under,Kyle Kuzma,1.94,27.5
fanduel,player_points_rebounds,Over,Daniel Gafford,1.88,14.5
fanduel,player_points_rebounds,Under,Daniel Gafford,1.88,14.5
fanduel,player_points_rebounds_assists,Over,Jalen Brunson,1.87,34.5
fanduel,player_points_rebounds_assists,Under,Jalen Brunson,1.9,34.5
fanduel,player_points_rebounds_assists,Over,Julius Randle,1.88,38.5
fanduel,player_points_rebounds_assists,Under,Julius Randle,1.88,38.5
fanduel,player_points_rebounds_assists,Over,Tyus Jones,1.98,17.5
fanduel,player_points_rebounds_assists,Under,Tyus Jones,1.8,17.5
fanduel,player_points_rebounds_assists,Over,Kyle Kuzma,1.96,31.5
fanduel,player_points_rebounds_assists,Under,Kyle Kuzma,1.82,31.5
fanduel,player_points_rebounds_assists,Over,Jordan Poole,1.9,23.5
fanduel,player_points_rebounds_assists,Under,Jordan Poole,1.87,23.5
fanduel,player_points_rebounds_assists,Over,Deni Avdija,1.87,21.5
